t	1	2	3
0	0	0.5	1
1	0	0.25	1
2	0	0.125	1
3	0.0625	0.125	1
4	0.0625	0.5625	1
5	0.0625	0.78125	1
6	0.0625	0.890625	1
7	0.0625	0.890625	0.9453125
8	0.0625	0.4765625	0.9453125
9	0.0625	0.26953125	0.9453125
10	0.0625	0.166015625	0.9453125
11	0.1142578125	0.166015625	0.9453125
12	0.1142578125	0.5556640625	0.9453125
13	0.1142578125	0.75048828125	0.9453125
14	0.1142578125	0.847900390625	0.9453125
15	0.1142578125	0.8966064453125	0.9453125
16	0.1142578125	0.8966064453125	0.92095947265625
17	0.1142578125	0.50543212890625	0.92095947265625
18	0.1142578125	0.309844970703125	0.92095947265625
19	0.1142578125	0.2120513916015625	0.92095947265625
20	0.1142578125	0.16315460205078125	0.92095947265625
21	0.13870620727539062	0.16315460205078125	0.92095947265625
22	0.13870620727539062	0.5420570373535156	0.92095947265625
23	0.13870620727539062	0.7315082550048828	0.92095947265625
24	0.13870620727539062	0.8262338638305664	0.92095947265625
25	0.13870620727539062	0.8735966682434082	0.92095947265625
26	0.13870620727539062	0.8972780704498291	0.92095947265625
27	0.13870620727539062	0.8972780704498291	0.9091187715530396
28	0.13870620727539062	0.5179921388626099	0.9091187715530396
29	0.13870620727539062	0.32834917306900024	0.9091187715530396
30	0.13870620727539062	0.23352769017219543	0.9091187715530396
31	0.13870620727539062	0.18611694872379303	0.9091187715530396
32	0.13870620727539062	0.16241157799959183	0.9091187715530396
33	0.15055889263749123	0.16241157799959183	0.9091187715530396
34	0.15055889263749123	0.5357651747763157	0.9091187715530396
35	0.15055889263749123	0.7224419731646776	0.9091187715530396
36	0.15055889263749123	0.8157803723588586	0.9091187715530396
37	0.15055889263749123	0.8624495719559491	0.9091187715530396
38	0.15055889263749123	0.8857841717544943	0.9091187715530396
39	0.15055889263749123	0.8974514716537669	0.9091187715530396
40	0.15055889263749123	0.8974514716537669	0.9032851216034032
41	0.15055889263749123	0.5240051821456291	0.9032851216034032
42	0.15055889263749123	0.33728203739156015	0.9032851216034032
43	0.15055889263749123	0.2439204650145257	0.9032851216034032
44	0.15055889263749123	0.19723967882600846	0.9032851216034032
45	0.15055889263749123	0.17389928573174984	0.9032851216034032
46	0.15055889263749123	0.16222908918462053	0.9032851216034032
47	0.15639399091105588	0.16222908918462053	0.9032851216034032
48	0.15639399091105588	0.5327571053940119	0.9032851216034032
49	0.15639399091105588	0.7180211134987076	0.9032851216034032
50	0.15639399091105588	0.8106531175510554	0.9032851216034032
51	0.15639399091105588	0.8569691195772293	0.9032851216034032
52	0.15639399091105588	0.8801271205903163	0.9032851216034032
53	0.15639399091105588	0.8917061210968598	0.9032851216034032
54	0.15639399091105588	0.8974956213501315	0.9032851216034032
55	0.15639399091105588	0.8974956213501315	0.9003903714767674
56	0.15639399091105588	0.5269448061305937	0.9003903714767674
57	0.15639399091105588	0.3416693985208248	0.9003903714767674
58	0.15639399091105588	0.24903169471594033	0.9003903714767674
59	0.15639399091105588	0.2027128428134981	0.9003903714767674
60	0.15639399091105588	0.179553416862277	0.9003903714767674
61	0.15639399091105588	0.16797370388666644	0.9003903714767674
62	0.15639399091105588	0.16218384739886116	0.9003903714767674
63	0.15928891915495852	0.16218384739886116	0.9003903714767674
64	0.15928891915495852	0.5312871094378142	0.9003903714767674
65	0.15928891915495852	0.7158387404572908	0.9003903714767674
66	0.15928891915495852	0.8081145559670291	0.9003903714767674
67	0.15928891915495852	0.8542524637218982	0.9003903714767674
68	0.15928891915495852	0.8773214175993328	0.9003903714767674
69	0.15928891915495852	0.88885589453805	0.9003903714767674
70	0.15928891915495852	0.8946231330074087	0.9003903714767674
71	0.15928891915495852	0.8975067522420881	0.9003903714767674
72	0.15928891915495852	0.8975067522420881	0.8989485618594277
73	0.15928891915495852	0.5283978356985233	0.8989485618594277
74	0.15928891915495852	0.34384337742674087	0.8989485618594277
75	0.15928891915495852	0.25156614829084967	0.8989485618594277
76	0.15928891915495852	0.2054275337229041	0.8989485618594277
77	0.15928891915495852	0.1823582264389313	0.8989485618594277
78	0.15928891915495852	0.1708235727969449	0.8989485618594277
79	0.15928891915495852	0.1650562459759517	0.8989485618594277
80	0.15928891915495852	0.1621725825654551	0.8989485618594277
81	0.16073075086020683	0.1621725825654551	0.8989485618594277
82	0.16073075086020683	0.5305605722124415	0.8989485618594277
83	0.16073075086020683	0.7147545670359345	0.8989485618594277
84	0.16073075086020683	0.8068515644476811	0.8989485618594277
85	0.16073075086020683	0.8529000631535544	0.8989485618594277
86	0.16073075086020683	0.875924312506491	0.8989485618594277
87	0.16073075086020683	0.8874364371829594	0.8989485618594277
88	0.16073075086020683	0.8931924995211935	0.8989485618594277
89	0.16073075086020683	0.8960705306903106	0.8989485618594277
90	0.16073075086020683	0.8975095462748692	0.8989485618594277
91	0.16073075086020683	0.8975095462748692	0.8982290540671485
92	0.16073075086020683	0.5291201485675381	0.8982290540671485
93	0.16073075086020683	0.34492544971387246	0.8982290540671485
94	0.16073075086020683	0.2528281002870396	0.8982290540671485
95	0.16073075086020683	0.20677942557362322	0.8982290540671485
96	0.16073075086020683	0.18375508821691502	0.8982290540671485
97	0.16073075086020683	0.1722429195385609	0.8982290540671485
98	0.16073075086020683	0.16648683519938387	0.8982290540671485
99	0.16073075086020683	0.16360879302979536	0.8982290540671485
100	0.16073075086020683	0.1621697719450011	0.8982290540671485
101	0.16145026140260396	0.1621697719450011	0.8982290540671485
102	0.16145026140260396	0.5301994130060748	0.8982290540671485
103	0.16145026140260396	0.7142142335366116	0.8982290540671485
104	0.16145026140260396	0.8062216438018801	0.8982290540671485
105	0.16145026140260396	0.8522253489345143	0.8982290540671485
106	0.16145026140260396	0.8752272015008313	0.8982290540671485
107	0.16145026140260396	0.8867281277839899	0.8982290540671485
108	0.16145026140260396	0.8924785909255692	0.8982290540671485
109	0.16145026140260396	0.8953538224963589	0.8982290540671485
110	0.16145026140260396	0.8967914382817537	0.8982290540671485
111	0.16145026140260396	0.8975102461744511	0.8982290540671485
112	0.16145026140260396	0.8975102461744511	0.8978696501207998
113	0.16145026140260396	0.5294802537885275	0.8978696501207998
114	0.16145026140260396	0.34546525759556573	0.8978696501207998
115	0.16145026140260396	0.25345775949908483	0.8978696501207998
116	0.16145026140260396	0.20745401045084438	0.8978696501207998
117	0.16145026140260396	0.18445213592672416	0.8978696501207998
118	0.16145026140260396	0.17295119866466407	0.8978696501207998
119	0.16145026140260396	0.167200730033634	0.8978696501207998
120	0.16145026140260396	0.164325495718119	0.8978696501207998
121	0.16145026140260396	0.16288787856036147	0.8978696501207998
122	0.16145026140260396	0.16216906998148273	0.8978696501207998
123	0.16180966569204336	0.16216906998148273	0.8978696501207998
124	0.16180966569204336	0.5300193600511413	0.8978696501207998
125	0.16180966569204336	0.7139445050859705	0.8978696501207998
126	0.16180966569204336	0.8059070776033852	0.8978696501207998
127	0.16180966569204336	0.8518883638620924	0.8978696501207998
128	0.16180966569204336	0.874879006991446	0.8978696501207998
129	0.16180966569204336	0.886374328556123	0.8978696501207998
130	0.16180966569204336	0.8921219893384613	0.8978696501207998
131	0.16180966569204336	0.8949958197296306	0.8978696501207998
132	0.16180966569204336	0.8964327349252152	0.8978696501207998
133	0.16180966569204336	0.8971511925230076	0.8978696501207998
134	0.16180966569204336	0.8975104213219036	0.8978696501207998
135	0.16180966569204336	0.8975104213219036	0.8976900357213518
136	0.16180966569204336	0.5296600435069735	0.8976900357213518
137	0.16180966569204336	0.3457348545995084	0.8976900357213518
138	0.16180966569204336	0.2537722601457759	0.8976900357213518
139	0.16180966569204336	0.20779096291890964	0.8976900357213518
140	0.16180966569204336	0.1848003143054765	0.8976900357213518
141	0.16180966569204336	0.17330498999875993	0.8976900357213518
142	0.16180966569204336	0.16755732784540164	0.8976900357213518
143	0.16180966569204336	0.16468349676872251	0.8976900357213518
144	0.16180966569204336	0.16324658123038294	0.8976900357213518
145	0.16180966569204336	0.16252812346121315	0.8976900357213518
146	0.16180966569204336	0.16216889457662825	0.8976900357213518
147	0.1619892801343358	0.16216889457662825	0.8976900357213518
148	0.1619892801343358	0.52992946514899	0.8976900357213518
149	0.1619892801343358	0.7138097504351708	0.8976900357213518
150	0.1619892801343358	0.8057498930782613	0.8976900357213518
151	0.1619892801343358	0.8517199643998066	0.8976900357213518
152	0.1619892801343358	0.8747050000605792	0.8976900357213518
153	0.1619892801343358	0.8861975178909655	0.8976900357213518
154	0.1619892801343358	0.8919437768061587	0.8976900357213518
155	0.1619892801343358	0.8948169062637552	0.8976900357213518
156	0.1619892801343358	0.8962534709925535	0.8976900357213518
157	0.1619892801343358	0.8969717533569526	0.8976900357213518
158	0.1619892801343358	0.8973308945391522	0.8976900357213518
159	0.1619892801343358	0.8975104651302519	0.8976900357213518
160	0.1619892801343358	0.8975104651302519	0.8976002504258018
161	0.1619892801343358	0.5297498726322939	0.8976002504258018
162	0.1619892801343358	0.34586957638331484	0.8976002504258018
163	0.1619892801343358	0.2539294282588253	0.8976002504258018
164	0.1619892801343358	0.20795935419658057	0.8976002504258018
165	0.1619892801343358	0.1849743171654582	0.8976002504258018
166	0.1619892801343358	0.173481798649897	0.8976002504258018
167	0.1619892801343358	0.16773553939211638	0.8976002504258018
168	0.1619892801343358	0.16486240976322608	0.8976002504258018
169	0.1619892801343358	0.16342584494878093	0.8976002504258018
170	0.1619892801343358	0.16270756254155838	0.8976002504258018
171	0.1619892801343358	0.16234842133794708	0.8976002504258018
172	0.1619892801343358	0.16216885073614146	0.8976002504258018
173	0.16207906543523865	0.16216885073614146	0.8976002504258018
174	0.16207906543523865	0.5298845505809716	0.8976002504258018
175	0.16207906543523865	0.7137424005033868	0.8976002504258018
176	0.16207906543523865	0.8056713254645943	0.8976002504258018
177	0.16207906543523865	0.8516357879451981	0.8976002504258018
178	0.16207906543523865	0.8746180191855	0.8976002504258018
179	0.16207906543523865	0.8861091348056509	0.8976002504258018
180	0.16207906543523865	0.8918546926157264	0.8976002504258018
181	0.16207906543523865	0.894727471520764	0.8976002504258018
182	0.16207906543523865	0.8961638609732829	0.8976002504258018
183	0.16207906543523865	0.8968820556995424	0.8976002504258018
184	0.16207906543523865	0.897241153062672	0.8976002504258018
185	0.16207906543523865	0.8974207017442369	0.8976002504258018
186	0.16207906543523865	0.8975104760850194	0.8976002504258018
187	0.16207906543523865	0.8975104760850194	0.8975553632554106
188	0.16207906543523865	0.529794770760129	0.8975553632554106
189	0.16207906543523865	0.34593691809768384	0.8975553632554106
190	0.16207906543523865	0.25400799176646127	0.8975553632554106
191	0.16207906543523865	0.20804352860084996	0.8975553632554106
192	0.16207906543523865	0.1850612970180443	0.8975553632554106
193	0.16207906543523865	0.17357018122664147	0.8975553632554106
194	0.16207906543523865	0.16782462333094006	0.8975553632554106
195	0.16207906543523865	0.16495184438308935	0.8975553632554106
196	0.16207906543523865	0.163515454909164	0.8975553632554106
197	0.16207906543523865	0.1627972601722013	0.8975553632554106
198	0.16207906543523865	0.16243816280371998	0.8975553632554106
199	0.16207906543523865	0.1622586141194793	0.8975553632554106
200	0.16207906543523865	0.16216883977735896	0.8975553632554106
201	0.1621239526062988	0.16216883977735896	0.8975553632554106
202	0.1621239526062988	0.5298621015163848	0.8975553632554106
203	0.1621239526062988	0.7137087323858977	0.8975553632554106
204	0.1621239526062988	0.8056320478206542	0.8975553632554106
205	0.1621239526062988	0.8515937055380325	0.8975553632554106
206	0.1621239526062988	0.8745745343967215	0.8975553632554106
207	0.1621239526062988	0.8860649488260661	0.8975553632554106
208	0.1621239526062988	0.8918101560407383	0.8975553632554106
209	0.1621239526062988	0.8946827596480744	0.8975553632554106
210	0.1621239526062988	0.8961190614517425	0.8975553632554106
211	0.1621239526062988	0.8968372123535766	0.8975553632554106
212	0.1621239526062988	0.8971962878044937	0.8975553632554106
213	0.1621239526062988	0.8973758255299522	0.8975553632554106
214	0.1621239526062988	0.8974655943926815	0.8975553632554106
215	0.1621239526062988	0.897510478824046	0.8975553632554106
216	0.1621239526062988	0.897510478824046	0.8975329210397283
217	0.1621239526062988	0.5298172157151724	0.8975329210397283
218	0.1621239526062988	0.34597058416073556	0.8975329210397283
219	0.1621239526062988	0.2540472683835172	0.8975329210397283
220	0.1621239526062988	0.208085610494908	0.8975329210397283
221	0.1621239526062988	0.1851047815506034	0.8975329210397283
222	0.1621239526062988	0.1736143670784511	0.8975329210397283
223	0.1621239526062988	0.16786915984237494	0.8975329210397283
224	0.1621239526062988	0.16499655622433687	0.8975329210397283
225	0.1621239526062988	0.16356025441531785	0.8975329210397283
226	0.1621239526062988	0.16284210351080833	0.8975329210397283
227	0.1621239526062988	0.16248302805855358	0.8975329210397283
228	0.1621239526062988	0.1623034903324262	0.8975329210397283
229	0.1621239526062988	0.1622137214693625	0.8975329210397283
230	0.1621239526062988	0.16216883703783064	0.8975329210397283
231	0.16214639482206472	0.16216883703783064	0.8975329210397283
